participantId,category,amount
0,Education,608.0860728582386
0,Food,3868.580758034882
0,Recreation,4870.355051117841
0,Shelter,8879.817947027756
0,Wage,134904.66845673797
1,Education,608.0860728582386
1,Food,3912.7511404366146
1,Recreation,7738.859696419048
1,Shelter,8879.817947027756
1,Wage,118421.02213344934
2,Education,204.99912029105582
2,Food,4265.2187068394815
2,Recreation,4988.619955131517
2,Shelter,8904.846835853386
2,Wage,104429.0035554045
3,Education,608.0860728582386
3,Food,4189.6968148206115
3,Recreation,5649.5135004101185
3,Shelter,8879.817947027756
3,Wage,100943.91179892616
4,Education,204.99912029105582
4,Food,4017.282756708485
4,Recreation,7492.829447750095
4,RentAdjustment,4809.283426720781
4,Shelter,21417.14831578553
4,Wage,130266.88610748075
5,Education,204.99912029105582
5,Food,5068.693281811007
5,Recreation,6113.979035069644
5,Shelter,9600.537994904433
5,Wage,28088.920740239828
6,Education,204.99912029105582
6,Food,4710.354112211335
6,Recreation,9057.174335398575
6,Shelter,9299.071825982312
6,Wage,28369.74172143821
7,Education,204.99912029105582
7,Food,7505.596343412715
7,Recreation,6893.988450225843
7,Shelter,16211.231156948163
7,Wage,89270.39834362597
8,Education,204.99912029105582
8,Food,7339.836253184554
8,Recreation,6451.658909450681
8,Shelter,18874.086816302464
8,Wage,54272.08157685026
9,Education,1458.2962215809964
9,Food,4229.183874217129
9,Recreation,5624.512664380332
9,Shelter,8928.036541155088
9,Wage,187548.87633024788
10,Education,204.99912029105582
10,Food,5827.9785648885545
10,Recreation,3733.8230249428884
10,Shelter,8974.415951758492
10,Wage,97334.59798921856
11,Education,1171.1656343569832
11,Food,4235.12167939151
11,Recreation,6271.017222327299
11,Shelter,8898.759538211689
11,Wage,98779.36859510005
12,Education,608.0860728582386
12,Food,3984.7989869614094
12,Recreation,7632.55614006467
12,Shelter,8910.12449292205
12,Wage,93774.10591057982
13,Education,204.99912029105582
13,Food,6692.0235111709635
13,Recreation,7853.047564235037
13,Shelter,20825.022487010094
13,Wage,85761.54895964607
14,Education,204.99912029105582
14,Food,6430.129585072542
14,Recreation,6097.807503599099
14,Shelter,18171.795213835398
14,Wage,106680.00312222772
15,Education,608.0860728582386
15,Food,3856.2695391746674
15,Recreation,5371.568483556982
15,Shelter,8940.431038816341
15,Wage,92746.46650123515
16,Education,204.99912029105582
16,Food,4007.0676724652863
16,Recreation,5207.0193408628165
16,Shelter,8997.605657060192
16,Wage,143943.18398092233
17,Education,608.0860728582386
17,Food,4454.535091739866
17,Recreation,5397.261893439867
17,Shelter,8940.431038816341
17,Wage,260239.1539325969
18,Education,1458.2962215809964
18,Food,4277.555727464249
18,Recreation,5940.612965970134
18,Shelter,8953.948042853703
18,Wage,260534.64638523833
19,Education,204.99912029105582
19,Food,6031.268308383403
19,Recreation,7088.734378542417
19,Shelter,9136.743888870402
19,Wage,133765.39076587607
20,Education,204.99912029105582
20,Food,5135.454029579492
20,Recreation,6332.365771147617
20,Shelter,9183.123299473806
20,Wage,87945.38973091019
21,Education,204.99912029105582
21,Food,4987.9992726182945
21,Recreation,10377.377328465125
21,Shelter,11015.110018308225
21,Wage,35707.078993931995
22,Education,204.99912029105582
22,Food,6397.996581709395
22,Recreation,6424.997896869186
22,Shelter,16232.793711191072
22,Wage,50906.40816026592
23,Education,1458.2962215809964
23,Food,4362.235310703408
23,Recreation,10067.678383327744
23,Shelter,8953.948042853703
23,Wage,76544.93686507254
24,Education,204.99912029105582
24,Food,4435.4127829379395
24,Recreation,5517.563747725551
24,Shelter,9183.123299473806
24,Wage,119793.19552113474
25,Education,204.99912029105582
25,Food,5835.043813939857
25,Recreation,4123.11166762235
25,Shelter,9391.83064718912
25,Wage,86185.13907224798
26,Education,204.99912029105582
26,Food,5865.932021587181
26,Recreation,7506.019926377962
26,Shelter,9391.83064718912
26,Wage,80802.60239302178
27,Education,608.0860728582386
27,Food,4361.338260799335
27,Recreation,6252.577983418221
27,Shelter,9001.044130604927
27,Wage,92012.94643286467
28,Education,608.0860728582386
28,Food,3820.7441821514867
28,Recreation,9412.164913487546
28,Shelter,9001.044130604927
28,Wage,201708.6014726477
29,Education,204.99912029105582
29,Food,4426.273253222969
29,Recreation,4472.3030267308495
29,Shelter,9855.624753223148
29,Wage,67447.85098965572
30,Education,204.99912029105582
30,Food,6313.019781966723
30,Recreation,6930.887785509123
30,RentAdjustment,3852.0195900895314
30,Shelter,17604.927115605795
30,Wage,30751.388736483113
31,Education,1458.2962215809964
31,Food,4363.3903157026625
31,Recreation,5086.410151260767
31,Shelter,9077.735342985321
31,Wage,220293.2949790261
32,Education,608.0860728582386
32,Food,4279.104240711611
32,Recreation,3930.0829450026044
32,Shelter,9122.270314182098
32,Wage,89573.44774801233
33,Education,1171.1656343569832
33,Food,4542.137074799115
33,Recreation,3040.256857201122
33,Shelter,9173.412610378717
33,Wage,178931.49073579058
34,Education,204.99912029105582
34,Food,4045.0381352625222
34,Recreation,9425.179943336187
34,RentAdjustment,2095.9469747523135
34,Shelter,18638.664652270574
34,Wage,61204.50284499126
35,Education,204.99912029105582
35,Food,6498.84348456766
35,Recreation,7977.250694762958
35,Shelter,10017.952690335058
35,Wage,30195.027830899762
36,Education,204.99912029105582
36,Food,4388.821052631383
36,Recreation,4643.907930742152
36,Shelter,10273.039448653775
36,Wage,216902.45445666212
37,Education,608.0860728582386
37,Food,4033.5436672019746
37,Recreation,7159.74256910642
37,Shelter,9182.883405970684
37,Wage,89511.75621153339
38,Education,608.0860728582386
38,Food,4321.952635949439
38,Recreation,6537.224788452889
38,Shelter,9182.883405970684
38,Wage,74375.4551567175
39,Education,204.99912029105582
39,Food,4125.066749568159
39,Recreation,8509.706182330223
39,Shelter,11989.077640979687
39,Wage,58671.86857355816
40,Education,608.0860728582386
40,Food,6179.723510043486
40,Recreation,8353.483537252992
40,Shelter,9637.481594385074
40,Wage,33262.524063165416
41,Education,204.99912029105582
41,Food,6441.904472246704
41,Recreation,6356.289667792316
41,Shelter,10644.074733481
41,Wage,30380.101083375193
42,Education,1171.1656343569832
42,Food,4174.206796340899
42,Recreation,4402.795481167127
42,Shelter,9228.343224812123
42,Wage,86353.5597196335
43,Education,608.0860728582386
43,Food,4203.068599018968
43,Recreation,7921.470754161538
43,Shelter,9243.496497759268
43,Wage,174285.610933751
44,Education,25.624890036381977
44,Food,38.534865850963925
44,Wage,2235.9861417758866
45,Education,608.0860728582386
45,Food,3897.3741756815234
45,Recreation,4897.739128189173
