participantId,householdSize,haveKids,age,educationLevel,interestGroup,joviality,engels,apartmentId,locationX,locationY,Education,Food,Recreation,Shelter,Wage,RentAdjustment
0,3,True,36,HighSchoolOrCollege,H,0.001626703,0.2122463792034601,926,-2721.353174109782,6862.8612194660855,608.0860728582386,3868.580758034882,4870.355051117841,8879.817947027756,134904.66845673797,0.0
1,3,True,25,HighSchoolOrCollege,B,0.3280865,0.1850918134570524,928,-1531.1328847088653,5597.244219744858,608.0860728582386,3912.751140436615,7738.859696419048,8879.817947027756,118421.02213344934,0.0
2,3,True,35,HighSchoolOrCollege,A,0.39346959,0.2322637747019419,291,-1352.9677515710423,2095.779439981468,204.99912029105585,4265.2187068394815,4988.619955131517,8904.846835853386,104429.0035554045,0.0
3,3,True,21,HighSchoolOrCollege,I,0.138063446,0.2167781874818255,1243,-1550.046162256439,5606.726708601213,608.0860728582386,4189.696814820612,5649.513500410119,8879.817947027756,100943.91179892616,0.0
4,3,True,43,Bachelors,H,0.857396691,0.1212498875806708,136,1488.4782480253098,3490.893224422793,204.99912029105585,4017.282756708485,7492.829447750095,21417.14831578553,130266.88610748076,4809.283426720781
5,3,True,32,HighSchoolOrCollege,D,0.772957791,0.2415019393729013,243,-1511.4440690712386,1994.482112236512,204.99912029105585,5068.693281811007,6113.979035069644,9600.537994904433,28088.920740239828,0.0
6,3,True,26,HighSchoolOrCollege,I,0.833980668,0.2024078376602429,183,1789.4153053376972,3245.3104881693826,204.99912029105585,4710.354112211335,9057.174335398577,9299.071825982312,28369.74172143821,0.0
7,3,True,27,Bachelors,A,0.958189409,0.2435631290669905,97,-1025.4630206407976,1571.1658211045055,204.99912029105585,7505.596343412715,6893.988450225843,16211.231156948164,89270.39834362597,0.0
8,3,True,20,Bachelors,G,0.697554819,0.2232949953341947,321,611.3346599759675,2266.011783648469,204.99912029105585,7339.836253184554,6451.658909450681,18874.086816302464,54272.08157685026,0.0
9,3,True,35,Bachelors,D,0.467131409,0.2089514699436963,355,-2025.813803104962,2039.3990990051875,1458.2962215809964,4229.183874217129,5624.512664380332,8928.036541155088,187548.87633024788,0.0
10,3,True,48,HighSchoolOrCollege,D,0.557176006,0.3109711962693685,91,1816.3549639769624,5215.958137993539,204.99912029105585,5827.9785648885545,3733.823024942888,8974.415951758492,97334.59798921856,0.0
11,3,True,27,HighSchoolOrCollege,F,0.25422732,0.2058275899657532,1582,-4580.138686257654,7008.662374002434,1171.1656343569832,4235.12167939151,6271.017222327299,8898.759538211689,98779.36859510004,0.0
12,3,True,34,HighSchoolOrCollege,D,0.241615182,0.1885352417284796,1198,-511.5960817230892,6362.843895698503,608.0860728582386,3984.79898696141,7632.55614006467,8910.12449292205,93774.10591057982,0.0
13,3,True,18,Bachelors,J,0.724503834,0.1881097983596798,141,585.7918117851856,3538.798388512636,204.99912029105585,6692.023511170964,7853.047564235037,20825.022487010094,85761.54895964607,0.0
14,3,True,38,Graduate,H,0.930003289,0.2080629498798719,66,1603.441866432816,4025.56333128745,204.99912029105585,6430.129585072542,6097.807503599099,18171.7952138354,106680.00312222772,0.0
