participantId,venueId,venueType,count,distance
0,446,Restaurant,323,6477.959916987144
0,448,Restaurant,2,4218.616051388984
0,899,Restaurant,1,3034.4291120169296
0,1342,Pub,23,3070.7511806581324
0,1344,Pub,16,3890.534377777381
0,1798,Pub,32,615.8713859969873
0,1799,Pub,27,1482.5033893181017
0,1800,Pub,282,1183.2532145354585
0,1801,Restaurant,121,456.6153614662159
0,1802,Restaurant,26,1295.7150429295302
1,1805,Restaurant,1,2398.972569946172
1,1802,Restaurant,45,2695.346240138422
1,1800,Pub,238,2392.511298214813
1,1799,Pub,76,2400.8359566909025
1,1798,Pub,84,1900.1451904867056
1,1801,Restaurant,15,1931.5619490430445
1,1344,Pub,83,2158.5166550643858
1,1342,Pub,157,1393.1129521676846
1,899,Restaurant,15,1309.3477470982575
1,448,Restaurant,26,2534.110862505121
1,1345,Restaurant,231,433.3043494903213
10,1344,Pub,31,2441.49121441053
10,1343,Pub,34,2853.4700302155875
10,1342,Pub,128,2085.467983954239
10,899,Restaurant,6,2733.4626136375205
10,895,Restaurant,3,3692.6704178185614
10,448,Restaurant,43,1388.6681136332954
10,446,Restaurant,322,4259.361489346859
10,443,Pub,32,876.8096187927067
10,442,Pub,78,1491.5786327923806
10,449,Restaurant,326,1272.8793777923229
100,1800,Pub,25,1192.6861606418825
100,1805,Restaurant,8,1888.786919752872
100,1804,Restaurant,103,448.7449393813494
100,1802,Restaurant,4,828.687695087001
100,1801,Restaurant,35,1561.084018527997
100,1799,Pub,35,1465.0197669099332
100,448,Restaurant,9,6009.739293887205
100,1344,Pub,38,5517.174793304147
100,1342,Pub,25,4865.668168241691
100,899,Restaurant,4,4668.911911003362
100,896,Restaurant,322,3861.5732903801663
100,1798,Pub,278,1575.897529768686
1000,1349,Restaurant,1,4142.294044022896
1000,1344,Pub,84,3100.760458845644
1000,899,Restaurant,18,3821.271692347462
1000,449,Restaurant,24,3451.9947687344065
1000,1342,Pub,108,4246.083627728212
1000,446,Restaurant,648,479.8599722441554
1000,444,Pub,259,643.0541531048375
1000,443,Pub,73,3913.547083029837
1000,442,Pub,131,3296.870847175423
1000,448,Restaurant,25,3636.186455566179
1001,442,Pub,2,1412.8540679003484
1001,443,Pub,4,1967.4862304922788
1001,444,Pub,2,1654.3326353817606
1001,445,Restaurant,128,650.456832911107
1001,446,Restaurant,322,1478.248597368405
1001,1342,Pub,2,2721.4151573260037
1001,1344,Pub,3,1739.0765503995435
1002,1343,Pub,192,1958.0794219639424
1002,1344,Pub,28,2356.623928201463
1002,899,Restaurant,1,2317.1767439447203
1002,897,Restaurant,106,741.7696414148598
1002,895,Restaurant,352,1352.2934048576178
1002,894,Pub,32,1311.2411059179667
1002,893,Pub,30,1371.7655209533607
1002,892,Pub,24,1352.4660920777333
1003,1805,Restaurant,609,405.40016570820114
1003,1802,Restaurant,5,1439.8393414236682
1003,1801,Restaurant,33,1805.591692177862
1003,1800,Pub,31,1204.2383874712075
1003,1799,Pub,20,795.2906417789577
1003,1803,Restaurant,16,2192.9210991279083
1003,1349,Restaurant,1,3122.663846774305
1003,1344,Pub,66,4257.043772827915
1003,1342,Pub,16,4000.424686652741
1003,899,Restaurant,14,3515.912160334389
1003,448,Restaurant,3,5027.0457351828245
1003,1798,Pub,245,1616.3157272758417
1004,1344,Pub,24,2320.9339146892808
1004,1343,Pub,99,1983.7975180885412
1004,899,Restaurant,2,2054.1674054741184
1004,897,Restaurant,110,485.99264288450206
1004,894,Pub,21,970.1007753197474
1004,893,Pub,63,1057.5701279024595
1004,892,Pub,31,1088.777298275459
1004,448,Restaurant,322,3357.611969017213
1004,895,Restaurant,33,1037.4996522520548
1005,1801,Restaurant,60,1756.9983123964132
1005,1805,Restaurant,299,342.7183716312292
1005,1803,Restaurant,16,2156.149873588931
1005,1802,Restaurant,326,1432.2365238222123
1005,1800,Pub,23,1178.6303923937255
1005,1799,Pub,26,765.5642404088597
1005,1349,Restaurant,1,3035.8135611125635
1005,1344,Pub,53,4172.888845972683
1005,1342,Pub,16,3913.013091407314
1005,899,Restaurant,10,3429.629039411799
1005,448,Restaurant,4,4940.21288329105
1005,1798,Pub,293,1565.3539167812355
1006,1801,Restaurant,14,1751.0907994213037
1006,1805,Restaurant,606,355.82686172741904
1006,1803,Restaurant,13,2137.7294126310585
1006,1802,Restaurant,8,1387.8605498831453
1006,1800,Pub,52,1149.4733202510158
1006,1799,Pub,144,740.1871778445634
1006,1349,Restaurant,1,3104.591384178241
1006,1344,Pub,176,4247.361701653502
1006,1342,Pub,62,3976.4859004595887
1006,899,Restaurant,35,3500.2692289218235
1006,895,Restaurant,3,2971.217707411401
1006,448,Restaurant,15,5008.92992379106
